14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
	CNMD	SH3BGRL2		CCNA2				RGS17	FTH1P5
	HORMAD2	TMOD2		METTL4				KRT86	KIAA0930
	KLHL25	CYP51A1		LIMA1				SLC22A1	F11R
	DNAJB2	APMAP		SALL3				LINC01224	NUMBL
	PXT1	LOC101928335		ZNF597				RNF38	OSBPL11
	DOCK2	C6orf120		BTBD18				CNTD1	FBXL5
	RPL19	DYNC1I1		MIR137HG				COMMD3	NUP88
	RP9P	CDH10		CCDC144CP				LINC00867	ZSCAN29
	HPS5	AMN1		CRISP2				SLC33A1	ASB7
	SRXN1	C1orf52		PCDHB16				RNASE6	WHAMM
	LINC01798	FYTTD1		SMPX				LRRC8D	CALCOCO2
	CEP89	CS		BRD8				FKSG29	UBE2D2
	PHKA1-AS1	GRIA2		TNPO3				TMEM64	EPS8
	CRIP2	PSD3		ZC3H4				KLHL26	GPR183
	TPT1	LMBRD2		GABPB1				RAPGEF4-AS1	CLNS1A
	E4F1	NIPAL2		REXO2				BTN2A3P	RAB11FIP3
	LRRC2-AS1	RABL2A		RNF44				IFT172	ENTPD3-AS1
	SH3TC1	HSPA13		ANKRD44				POGLUT2	LOC102723722
	VCPIP1	RNF19B		SIAH3				LOC105374240	MITD1
	CNTFR-AS1	GYG1		INSC				KLHL9	MAN1A2
	ZFAT	UBE2E2		PTH2R				LOC100422212	GLIDR
	NOC2L	ASTN1		HAVCR1P1				SLC10A1	PCDHA12
	LINC00592	TMEM268		FRG2EP				NME6	PBX3
	PMVK	PWAR6		STX18-AS1				PPIF	PLXDC2
	OXT	C3orf80		AFTPH					CNOT2
	ANKRD53	MAGED1		ZFPM2					ROBO1
	PIP5K1A	GJB6		USP44					PPP2R3A
	EWSR1	BEX2		LOC101927272					EXOSC10
	GPIHBP1	NME5		TAS2R45					PAXBP1
	WFDC10B	BEX1		ATP10D					AK9
	TSPOAP1-AS1	ZNF334		XPO1					RIDA
	SAMTOR	NORAD		LINC00865					OST4
	PDYN	RAB11A		TMEM91					KCNRG
	PRPSAP1	UBQLN1		RORA-AS1					PTRH2
	PDIA6	CNKSR2		ZNF271P					MAL
	LINC00205	BLOC1S6		TRIM35					PRO1804
	ACADVL	SUCLA2		FAM9A					TOMM20
	ARMC7	CYRIA		LINC01561					GNA12
	ALOX12P2	CRYM		CAMK1					RPS23
	TMEM255B	DGKB		CEP63					ING3
	CHEK2	VPS41		COL14A1					PSD2
	ABCC6	PSMA6		TNFSF13B					RPL15
	LOC780529	PTPN4		GORAB					GPSM2
	EPHB3	C12orf43		MAML1					ZNF121
